2020-06-24 22:21:33.603 +08:00 [DBUG] | Hosting starting
2020-06-24 22:21:33.805 +08:00 [INFO] | Content root path: C:\Users\Kyaw\source\repos\FBChat\FBChat\bin\Debug\netcoreapp3.0
2020-06-24 22:21:33.805 +08:00 [DBUG] | Hosting started
2020-06-24 22:22:54.885 +08:00 [INFO] | Application is shutting down...
2020-06-24 22:22:54.886 +08:00 [DBUG] | Hosting stopping
2020-06-24 22:22:54.892 +08:00 [DBUG] | Hosting stopped
2020-06-24 22:23:04.156 +08:00 [DBUG] | Hosting starting
2020-06-24 22:23:04.205 +08:00 [INFO] | User profile is available. Using 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2020-06-24 22:23:04.214 +08:00 [DBUG] | Reading data from file 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys\key-2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b.xml'.
2020-06-24 22:23:04.223 +08:00 [DBUG] | Found key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b}.
2020-06-24 22:23:04.230 +08:00 [DBUG] | Considering key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} with expiration date 2020-09-21 04:33:16Z as default key.
2020-06-24 22:23:04.237 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:23:04.239 +08:00 [DBUG] | Decrypting secret element using Windows DPAPI.
2020-06-24 22:23:04.240 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:23:04.243 +08:00 [DBUG] | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
2020-06-24 22:23:04.244 +08:00 [DBUG] | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2020-06-24 22:23:04.246 +08:00 [DBUG] | Using key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} as the default key.
2020-06-24 22:23:04.247 +08:00 [DBUG] | Key ring with default key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} was loaded during application startup.
2020-06-24 22:23:04.298 +08:00 [DBUG] | Failed to locate the development https certificate at 'null'.
2020-06-24 22:23:04.338 +08:00 [DBUG] | Using development certificate: CN=localhost (Thumbprint: 9C0091F5120CA74E9C2BC150B6DB27ED6AB79D3E)
2020-06-24 22:23:04.340 +08:00 [DBUG] | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2020-06-24 22:23:04.340 +08:00 [INFO] | Now listening on: http://localhost:5000
2020-06-24 22:23:04.340 +08:00 [INFO] | Now listening on: https://localhost:5001
2020-06-24 22:23:04.340 +08:00 [DBUG] | Loaded hosting startup assembly FBChat
2020-06-24 22:23:04.340 +08:00 [INFO] | Application started. Press Ctrl+C to shut down.
2020-06-24 22:23:04.340 +08:00 [INFO] | Hosting environment: Production
2020-06-24 22:23:04.340 +08:00 [INFO] | Content root path: C:\Users\Kyaw\source\repos\FBChat\FBChat\bin\Debug\netcoreapp3.0
2020-06-24 22:23:04.340 +08:00 [DBUG] | Hosting started
2020-06-24 22:23:45.636 +08:00 [INFO] | Application is shutting down...
2020-06-24 22:23:45.636 +08:00 [DBUG] | Hosting stopping
2020-06-24 22:23:45.643 +08:00 [DBUG] | Hosting stopped
2020-06-24 22:23:46.741 +08:00 [DBUG] | Hosting starting
2020-06-24 22:23:46.792 +08:00 [INFO] | User profile is available. Using 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2020-06-24 22:23:46.801 +08:00 [DBUG] | Reading data from file 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys\key-2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b.xml'.
2020-06-24 22:23:46.810 +08:00 [DBUG] | Found key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b}.
2020-06-24 22:23:46.817 +08:00 [DBUG] | Considering key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} with expiration date 2020-09-21 04:33:16Z as default key.
2020-06-24 22:23:46.823 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:23:46.825 +08:00 [DBUG] | Decrypting secret element using Windows DPAPI.
2020-06-24 22:23:46.826 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:23:46.829 +08:00 [DBUG] | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
2020-06-24 22:23:46.830 +08:00 [DBUG] | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2020-06-24 22:23:46.832 +08:00 [DBUG] | Using key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} as the default key.
2020-06-24 22:23:46.833 +08:00 [DBUG] | Key ring with default key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} was loaded during application startup.
2020-06-24 22:23:46.885 +08:00 [DBUG] | Failed to locate the development https certificate at 'null'.
2020-06-24 22:23:46.926 +08:00 [DBUG] | Using development certificate: CN=localhost (Thumbprint: 9C0091F5120CA74E9C2BC150B6DB27ED6AB79D3E)
2020-06-24 22:23:46.927 +08:00 [DBUG] | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2020-06-24 22:23:46.927 +08:00 [INFO] | Now listening on: http://localhost:5000
2020-06-24 22:23:46.927 +08:00 [INFO] | Now listening on: https://localhost:5001
2020-06-24 22:23:46.927 +08:00 [DBUG] | Loaded hosting startup assembly FBChat
2020-06-24 22:23:46.927 +08:00 [INFO] | Application started. Press Ctrl+C to shut down.
2020-06-24 22:23:46.927 +08:00 [INFO] | Hosting environment: Production
2020-06-24 22:23:46.928 +08:00 [INFO] | Content root path: C:\Users\Kyaw\source\repos\FBChat\FBChat\bin\Debug\netcoreapp3.0
2020-06-24 22:23:46.928 +08:00 [DBUG] | Hosting started
2020-06-24 22:24:16.476 +08:00 [INFO] | Application is shutting down...
2020-06-24 22:24:16.477 +08:00 [DBUG] | Hosting stopping
2020-06-24 22:24:16.483 +08:00 [DBUG] | Hosting stopped
2020-06-24 22:24:18.047 +08:00 [DBUG] | Hosting starting
2020-06-24 22:24:18.096 +08:00 [INFO] | User profile is available. Using 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2020-06-24 22:24:18.105 +08:00 [DBUG] | Reading data from file 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys\key-2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b.xml'.
2020-06-24 22:24:18.114 +08:00 [DBUG] | Found key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b}.
2020-06-24 22:24:18.121 +08:00 [DBUG] | Considering key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} with expiration date 2020-09-21 04:33:16Z as default key.
2020-06-24 22:24:18.127 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:24:18.129 +08:00 [DBUG] | Decrypting secret element using Windows DPAPI.
2020-06-24 22:24:18.130 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:24:18.133 +08:00 [DBUG] | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
2020-06-24 22:24:18.134 +08:00 [DBUG] | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2020-06-24 22:24:18.137 +08:00 [DBUG] | Using key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} as the default key.
2020-06-24 22:24:18.137 +08:00 [DBUG] | Key ring with default key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} was loaded during application startup.
2020-06-24 22:24:18.196 +08:00 [DBUG] | Failed to locate the development https certificate at 'null'.
2020-06-24 22:24:18.235 +08:00 [DBUG] | Using development certificate: CN=localhost (Thumbprint: 9C0091F5120CA74E9C2BC150B6DB27ED6AB79D3E)
2020-06-24 22:24:18.237 +08:00 [DBUG] | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2020-06-24 22:24:18.237 +08:00 [INFO] | Now listening on: http://localhost:5000
2020-06-24 22:24:18.237 +08:00 [INFO] | Now listening on: https://localhost:5001
2020-06-24 22:24:18.237 +08:00 [DBUG] | Loaded hosting startup assembly FBChat
2020-06-24 22:24:18.237 +08:00 [INFO] | Application started. Press Ctrl+C to shut down.
2020-06-24 22:24:18.237 +08:00 [INFO] | Hosting environment: Production
2020-06-24 22:24:18.237 +08:00 [INFO] | Content root path: C:\Users\Kyaw\source\repos\FBChat\FBChat\bin\Debug\netcoreapp3.0
2020-06-24 22:24:18.237 +08:00 [DBUG] | Hosting started
2020-06-24 22:27:01.979 +08:00 [INFO] | Application is shutting down...
2020-06-24 22:27:01.980 +08:00 [DBUG] | Hosting stopping
2020-06-24 22:27:01.985 +08:00 [DBUG] | Hosting stopped
2020-06-24 22:27:23.534 +08:00 [DBUG] | Hosting starting
2020-06-24 22:27:23.586 +08:00 [INFO] | User profile is available. Using 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest.
2020-06-24 22:27:23.596 +08:00 [DBUG] | Reading data from file 'C:\Users\Kyaw\AppData\Local\ASP.NET\DataProtection-Keys\key-2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b.xml'.
2020-06-24 22:27:23.606 +08:00 [DBUG] | Found key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b}.
2020-06-24 22:27:23.613 +08:00 [DBUG] | Considering key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} with expiration date 2020-09-21 04:33:16Z as default key.
2020-06-24 22:27:23.620 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.XmlEncryption.DpapiXmlDecryptor, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:27:23.622 +08:00 [DBUG] | Decrypting secret element using Windows DPAPI.
2020-06-24 22:27:23.623 +08:00 [DBUG] | Forwarded activator type request from Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Version=2.1.1.0, Culture=neutral, PublicKeyToken=adb9793829ddae60 to Microsoft.AspNetCore.DataProtection.AuthenticatedEncryption.ConfigurationModel.AuthenticatedEncryptorDescriptorDeserializer, Microsoft.AspNetCore.DataProtection, Culture=neutral, PublicKeyToken=adb9793829ddae60
2020-06-24 22:27:23.625 +08:00 [DBUG] | Opening CNG algorithm 'AES' from provider 'null' with chaining mode CBC.
2020-06-24 22:27:23.627 +08:00 [DBUG] | Opening CNG algorithm 'SHA256' from provider 'null' with HMAC.
2020-06-24 22:27:23.629 +08:00 [DBUG] | Using key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} as the default key.
2020-06-24 22:27:23.630 +08:00 [DBUG] | Key ring with default key {2a2ba1e0-b9ce-4cca-9106-ace916a1cc8b} was loaded during application startup.
2020-06-24 22:27:23.689 +08:00 [DBUG] | Failed to locate the development https certificate at 'null'.
2020-06-24 22:27:23.729 +08:00 [DBUG] | Using development certificate: CN=localhost (Thumbprint: 9C0091F5120CA74E9C2BC150B6DB27ED6AB79D3E)
2020-06-24 22:27:23.730 +08:00 [DBUG] | No listening endpoints were configured. Binding to http://localhost:5000 and https://localhost:5001 by default.
2020-06-24 22:27:23.730 +08:00 [INFO] | Now listening on: http://localhost:5000
2020-06-24 22:27:23.730 +08:00 [INFO] | Now listening on: https://localhost:5001
2020-06-24 22:27:23.730 +08:00 [DBUG] | Loaded hosting startup assembly FBChat
2020-06-24 22:27:23.731 +08:00 [INFO] | Application started. Press Ctrl+C to shut down.
2020-06-24 22:27:23.731 +08:00 [INFO] | Hosting environment: Production
2020-06-24 22:27:23.731 +08:00 [INFO] | Content root path: C:\Users\Kyaw\source\repos\FBChat\FBChat\bin\Debug\netcoreapp3.0
2020-06-24 22:27:23.731 +08:00 [DBUG] | Hosting started
2020-06-25 12:11:24.493 +08:00 [INFO] | Application is shutting down...
2020-06-25 12:11:24.495 +08:00 [DBUG] | Hosting stopping
2020-06-25 12:11:24.508 +08:00 [DBUG] | Hosting stopped
